"Date ","Winning Numbers ","Powerball® ","PowerPlay® "
" 10/4/2023 "," Powerball® Numbers 9 - 35 - 54 - 63 - 64 "," 1 "," 2 "," "
""," Double Play® Numbers 12 - 30 - 39 - 64 - 67 "," 22 "," --- "," "
" 10/2/2023 "," Powerball® Numbers 12 - 26 - 27 - 43 - 47 "," 5 "," 2 "," "
""," Double Play® Numbers 11 - 26 - 35 - 40 - 43 "," 24 "," --- "," "
" 9/30/2023 "," Powerball® Numbers 19 - 30 - 37 - 44 - 46 "," 22 "," 2 "," "
""," Double Play® Numbers 2 - 22 - 46 - 56 - 67 "," 25 "," --- "," "
" 9/27/2023 "," Powerball® Numbers 1 - 7 - 46 - 47 - 63 "," 7 "," 3 "," "
""," Double Play® Numbers 10 - 25 - 51 - 52 - 63 "," 1 "," --- "," "
" 9/25/2023 "," Powerball® Numbers 10 - 12 - 22 - 36 - 50 "," 4 "," 2 "," "
""," Double Play® Numbers 5 - 16 - 18 - 38 - 40 "," 19 "," --- "," "
" 9/23/2023 "," Powerball® Numbers 1 - 12 - 20 - 33 - 66 "," 21 "," 2 "," "
""," Double Play® Numbers 14 - 16 - 26 - 41 - 57 "," 24 "," --- "," "
" 9/20/2023 "," Powerball® Numbers 16 - 27 - 59 - 62 - 63 "," 23 "," 3 "," "
""," Double Play® Numbers 6 - 20 - 29 - 46 - 68 "," 8 "," --- "," "
" 9/18/2023 "," Powerball® Numbers 2 - 21 - 26 - 40 - 42 "," 9 "," 3 "," "
""," Double Play® Numbers 3 - 7 - 41 - 48 - 67 "," 14 "," --- "," "
" 9/16/2023 "," Powerball® Numbers 8 - 11 - 19 - 24 - 46 "," 5 "," 2 "," "
""," Double Play® Numbers 10 - 27 - 30 - 43 - 47 "," 6 "," --- "," "
" 9/13/2023 "," Powerball® Numbers 22 - 30 - 37 - 44 - 45 "," 18 "," 3 "," "
""," Double Play® Numbers 3 - 12 - 28 - 58 - 62 "," 24 "," --- "," "
" 9/11/2023 "," Powerball® Numbers 9 - 25 - 27 - 53 - 66 "," 5 "," 2 "," "
""," Double Play® Numbers 18 - 22 - 25 - 30 - 35 "," 22 "," --- "," "
" 9/9/2023 "," Powerball® Numbers 11 - 19 - 29 - 63 - 68 "," 25 "," 2 "," "
""," Double Play® Numbers 33 - 38 - 42 - 64 - 65 "," 20 "," --- "," "
" 9/6/2023 "," Powerball® Numbers 9 - 14 - 20 - 23 - 63 "," 1 "," 3 "," "
""," Double Play® Numbers 1 - 12 - 30 - 50 - 55 "," 10 "," --- "," "
" 9/4/2023 "," Powerball® Numbers 1 - 26 - 32 - 46 - 51 "," 13 "," 3 "," "
""," Double Play® Numbers 1 - 29 - 45 - 47 - 51 "," 7 "," --- "," "
" 9/2/2023 "," Powerball® Numbers 25 - 38 - 42 - 66 - 67 "," 19 "," 4 "," "
""," Double Play® Numbers 3 - 7 - 14 - 26 - 52 "," 21 "," --- "," "
" 8/30/2023 "," Powerball® Numbers 4 - 13 - 35 - 61 - 69 "," 4 "," 2 "," "
""," Double Play® Numbers 2 - 10 - 45 - 46 - 59 "," 2 "," --- "," "
" 8/28/2023 "," Powerball® Numbers 4 - 6 - 25 - 55 - 68 "," 26 "," 2 "," "
""," Double Play® Numbers 23 - 24 - 48 - 61 - 64 "," 4 "," --- "," "
" 8/26/2023 "," Powerball® Numbers 20 - 22 - 26 - 28 - 63 "," 5 "," 3 "," "
""," Double Play® Numbers 1 - 19 - 54 - 63 - 64 "," 15 "," --- "," "
" 8/23/2023 "," Powerball® Numbers 25 - 30 - 32 - 33 - 55 "," 20 "," 2 "," "
""," Double Play® Numbers 18 - 25 - 38 - 56 - 61 "," 19 "," --- "," "
" 8/21/2023 "," Powerball® Numbers 3 - 4 - 12 - 22 - 28 "," 16 "," 2 "," "
""," Double Play® Numbers 1 - 13 - 19 - 49 - 66 "," 7 "," --- "," "
" 8/19/2023 "," Powerball® Numbers 1 - 25 - 27 - 38 - 62 "," 13 "," 2 "," "
""," Double Play® Numbers 19 - 26 - 39 - 65 - 68 "," 12 "," --- "," "
" 8/16/2023 "," Powerball® Numbers 9 - 11 - 17 - 19 - 55 "," 1 "," 2 "," "
""," Double Play® Numbers 15 - 22 - 44 - 49 - 63 "," 26 "," --- "," "
" 8/14/2023 "," Powerball® Numbers 32 - 34 - 37 - 39 - 47 "," 3 "," 2 "," "
""," Double Play® Numbers 2 - 23 - 42 - 61 - 68 "," 26 "," --- "," "
" 8/12/2023 "," Powerball® Numbers 19 - 21 - 37 - 50 - 65 "," 26 "," 2 "," "
""," Double Play® Numbers 10 - 26 - 27 - 48 - 52 "," 12 "," --- "," "
" 8/9/2023 "," Powerball® Numbers 10 - 15 - 21 - 67 - 69 "," 3 "," 2 "," "
""," Double Play® Numbers 1 - 42 - 51 - 61 - 63 "," 17 "," --- "," "
" 8/7/2023 "," Powerball® Numbers 6 - 13 - 20 - 35 - 54 "," 22 "," 2 "," "
""," Double Play® Numbers 26 - 29 - 37 - 49 - 63 "," 22 "," --- "," "
" 8/5/2023 "," Powerball® Numbers 18 - 42 - 44 - 62 - 65 "," 23 "," 2 "," "
""," Double Play® Numbers 14 - 25 - 37 - 57 - 67 "," 16 "," --- "," "
" 8/2/2023 "," Powerball® Numbers 23 - 24 - 33 - 51 - 64 "," 5 "," 2 "," "
""," Double Play® Numbers 5 - 23 - 30 - 62 - 63 "," 9 "," --- "," "
" 7/31/2023 "," Powerball® Numbers 2 - 11 - 48 - 58 - 65 "," 13 "," 2 "," "
""," Double Play® Numbers 15 - 32 - 33 - 34 - 35 "," 4 "," --- "," "
" 7/29/2023 "," Powerball® Numbers 10 - 25 - 27 - 34 - 38 "," 2 "," 3 "," "
""," Double Play® Numbers 10 - 23 - 27 - 62 - 65 "," 15 "," --- "," "
" 7/26/2023 "," Powerball® Numbers 3 - 16 - 40 - 48 - 60 "," 14 "," 2 "," "
""," Double Play® Numbers 31 - 43 - 51 - 60 - 69 "," 13 "," --- "," "
" 7/24/2023 "," Powerball® Numbers 3 - 4 - 12 - 28 - 49 "," 25 "," 2 "," "
""," Double Play® Numbers 3 - 6 - 32 - 58 - 68 "," 25 "," --- "," "
" 7/22/2023 "," Powerball® Numbers 25 - 27 - 36 - 37 - 63 "," 7 "," 2 "," "
""," Double Play® Numbers 31 - 37 - 39 - 54 - 65 "," 14 "," --- "," "
" 7/19/2023 "," Powerball® Numbers 7 - 10 - 11 - 13 - 24 "," 24 "," 2 "," "
""," Double Play® Numbers 13 - 15 - 28 - 43 - 57 "," 25 "," --- "," "
" 7/17/2023 "," Powerball® Numbers 5 - 8 - 9 - 17 - 41 "," 21 "," 4 "," "
""," Double Play® Numbers 9 - 37 - 38 - 62 - 69 "," 23 "," --- "," "
" 7/15/2023 "," Powerball® Numbers 2 - 9 - 43 - 55 - 57 "," 18 "," 2 "," "
""," Double Play® Numbers 12 - 21 - 23 - 37 - 52 "," 19 "," --- "," "
" 7/12/2023 "," Powerball® Numbers 23 - 35 - 45 - 66 - 67 "," 20 "," 3 "," "
""," Double Play® Numbers 42 - 49 - 54 - 62 - 63 "," 21 "," --- "," "
" 7/10/2023 "," Powerball® Numbers 2 - 24 - 34 - 53 - 58 "," 13 "," 2 "," "
""," Double Play® Numbers 21 - 30 - 37 - 41 - 56 "," 14 "," --- "," "
" 7/8/2023 "," Powerball® Numbers 7 - 23 - 24 - 32 - 43 "," 18 "," 2 "," "
""," Double Play® Numbers 12 - 23 - 30 - 42 - 62 "," 21 "," --- "," "
" 7/5/2023 "," Powerball® Numbers 17 - 24 - 48 - 62 - 68 "," 23 "," 2 "," "
""," Double Play® Numbers 10 - 19 - 47 - 50 - 53 "," 26 "," --- "," "
" 7/3/2023 "," Powerball® Numbers 15 - 26 - 31 - 38 - 61 "," 3 "," 3 "," "
""," Double Play® Numbers 15 - 37 - 50 - 55 - 69 "," 9 "," --- "," "
" 7/1/2023 "," Powerball® Numbers 4 - 17 - 35 - 49 - 61 "," 8 "," 2 "," "
""," Double Play® Numbers 13 - 24 - 49 - 54 - 60 "," 17 "," --- "," "
" 6/28/2023 "," Powerball® Numbers 19 - 25 - 34 - 57 - 68 "," 4 "," 5 "," "
""," Double Play® Numbers 27 - 33 - 48 - 64 - 69 "," 23 "," --- "," "
" 6/26/2023 "," Powerball® Numbers 6 - 28 - 39 - 43 - 54 "," 12 "," 4 "," "
""," Double Play® Numbers 14 - 20 - 23 - 31 - 54 "," 19 "," --- "," "
" 6/24/2023 "," Powerball® Numbers 2 - 38 - 44 - 50 - 62 "," 19 "," 3 "," "
""," Double Play® Numbers 12 - 17 - 50 - 53 - 64 "," 20 "," --- "," "
" 6/21/2023 "," Powerball® Numbers 5 - 11 - 33 - 35 - 63 "," 14 "," 2 "," "
""," Double Play® Numbers 15 - 18 - 23 - 45 - 48 "," 10 "," --- "," "
" 6/19/2023 "," Powerball® Numbers 36 - 39 - 52 - 57 - 69 "," 1 "," 3 "," "
""," Double Play® Numbers 14 - 15 - 39 - 57 - 69 "," 7 "," --- "," "
" 6/17/2023 "," Powerball® Numbers 2 - 12 - 45 - 61 - 64 "," 26 "," 2 "," "
""," Double Play® Numbers 8 - 12 - 21 - 33 - 51 "," 14 "," --- "," "
" 6/14/2023 "," Powerball® Numbers 3 - 20 - 36 - 42 - 64 "," 4 "," 2 "," "
""," Double Play® Numbers 6 - 10 - 14 - 16 - 50 "," 1 "," --- "," "
" 6/12/2023 "," Powerball® Numbers 2 - 3 - 16 - 23 - 68 "," 7 "," 2 "," "
""," Double Play® Numbers 9 - 15 - 22 - 54 - 64 "," 19 "," --- "," "
" 6/10/2023 "," Powerball® Numbers 21 - 32 - 42 - 46 - 50 "," 4 "," 3 "," "
""," Double Play® Numbers 30 - 45 - 55 - 67 - 69 "," 23 "," --- "," "
" 6/7/2023 "," Powerball® Numbers 16 - 21 - 29 - 53 - 66 "," 2 "," 5 "," "
""," Double Play® Numbers 29 - 44 - 55 - 62 - 66 "," 7 "," --- "," "
" 6/5/2023 "," Powerball® Numbers 2 - 31 - 45 - 46 - 49 "," 20 "," 2 "," "
""," Double Play® Numbers 3 - 11 - 14 - 37 - 44 "," 2 "," --- "," "
" 6/3/2023 "," Powerball® Numbers 15 - 45 - 64 - 67 - 68 "," 18 "," 2 "," "
""," Double Play® Numbers 8 - 26 - 34 - 58 - 69 "," 7 "," --- "," "
" 5/31/2023 "," Powerball® Numbers 2 - 4 - 54 - 61 - 62 "," 14 "," 3 "," "
""," Double Play® Numbers 15 - 36 - 61 - 66 - 68 "," 23 "," --- "," "
" 5/29/2023 "," Powerball® Numbers 21 - 33 - 35 - 62 - 64 "," 24 "," 2 "," "
""," Double Play® Numbers 5 - 12 - 17 - 46 - 65 "," 16 "," --- "," "
" 5/27/2023 "," Powerball® Numbers 24 - 38 - 39 - 48 - 56 "," 4 "," 2 "," "
""," Double Play® Numbers 21 - 28 - 31 - 48 - 49 "," 18 "," --- "," "
" 5/24/2023 "," Powerball® Numbers 12 - 21 - 44 - 50 - 58 "," 26 "," 3 "," "
""," Double Play® Numbers 7 - 25 - 29 - 40 - 45 "," 12 "," --- "," "
" 5/22/2023 "," Powerball® Numbers 9 - 38 - 48 - 52 - 68 "," 25 "," 4 "," "
""," Double Play® Numbers 14 - 17 - 38 - 39 - 40 "," 14 "," --- "," "
" 5/20/2023 "," Powerball® Numbers 17 - 23 - 32 - 38 - 63 "," 23 "," 2 "," "
""," Double Play® Numbers 19 - 32 - 54 - 55 - 68 "," 24 "," --- "," "
" 5/17/2023 "," Powerball® Numbers 18 - 34 - 37 - 45 - 51 "," 14 "," 2 "," "
""," Double Play® Numbers 21 - 26 - 37 - 52 - 53 "," 26 "," --- "," "
" 5/15/2023 "," Powerball® Numbers 1 - 26 - 28 - 55 - 58 "," 25 "," 2 "," "
""," Double Play® Numbers 13 - 36 - 55 - 56 - 68 "," 23 "," --- "," "
" 5/13/2023 "," Powerball® Numbers 3 - 15 - 20 - 23 - 46 "," 11 "," 2 "," "
""," Double Play® Numbers 23 - 32 - 52 - 58 - 60 "," 3 "," --- "," "
" 5/10/2023 "," Powerball® Numbers 21 - 24 - 33 - 55 - 69 "," 3 "," 10 "," "
""," Double Play® Numbers 21 - 22 - 24 - 52 - 58 "," 3 "," --- "," "
" 5/8/2023 "," Powerball® Numbers 15 - 20 - 33 - 36 - 43 "," 12 "," 2 "," "
""," Double Play® Numbers 4 - 31 - 50 - 53 - 63 "," 24 "," --- "," "
" 5/6/2023 "," Powerball® Numbers 31 - 39 - 47 - 51 - 53 "," 6 "," 2 "," "
""," Double Play® Numbers 1 - 9 - 20 - 21 - 55 "," 11 "," --- "," "
" 5/3/2023 "," Powerball® Numbers 21 - 26 - 30 - 45 - 47 "," 23 "," 3 "," "
""," Double Play® Numbers 11 - 35 - 57 - 60 - 64 "," 22 "," --- "," "
" 5/1/2023 "," Powerball® Numbers 3 - 38 - 55 - 61 - 66 "," 1 "," 3 "," "
""," Double Play® Numbers 14 - 20 - 29 - 33 - 57 "," 2 "," --- "," "
" 4/29/2023 "," Powerball® Numbers 16 - 53 - 54 - 57 - 65 "," 8 "," 2 "," "
""," Double Play® Numbers 3 - 13 - 36 - 50 - 61 "," 16 "," --- "," "
" 4/26/2023 "," Powerball® Numbers 2 - 15 - 30 - 35 - 49 "," 6 "," 2 "," "
""," Double Play® Numbers 18 - 26 - 31 - 49 - 51 "," 18 "," --- "," "
" 4/24/2023 "," Powerball® Numbers 19 - 21 - 55 - 66 - 68 "," 3 "," 2 "," "
""," Double Play® Numbers 9 - 18 - 24 - 30 - 58 "," 15 "," --- "," "
" 4/22/2023 "," Powerball® Numbers 17 - 36 - 47 - 63 - 68 "," 25 "," 2 "," "
""," Double Play® Numbers 9 - 10 - 50 - 62 - 63 "," 14 "," --- "," "
" 4/19/2023 "," Powerball® Numbers 4 - 11 - 21 - 38 - 64 "," 11 "," 3 "," "
""," Double Play® Numbers 9 - 17 - 22 - 24 - 31 "," 5 "," --- "," "
" 4/17/2023 "," Powerball® Numbers 23 - 25 - 35 - 63 - 64 "," 25 "," 3 "," "
""," Double Play® Numbers 5 - 34 - 35 - 58 - 67 "," 21 "," --- "," "
" 4/15/2023 "," Powerball® Numbers 1 - 33 - 34 - 56 - 59 "," 18 "," 3 "," "
""," Double Play® Numbers 4 - 6 - 15 - 19 - 28 "," 15 "," --- "," "
" 4/12/2023 "," Powerball® Numbers 9 - 36 - 41 - 44 - 59 "," 4 "," 2 "," "
""," Double Play® Numbers 16 - 19 - 32 - 33 - 41 "," 19 "," --- "," "
" 4/10/2023 "," Powerball® Numbers 9 - 10 - 36 - 46 - 52 "," 14 "," 2 "," "
""," Double Play® Numbers 6 - 14 - 20 - 24 - 63 "," 2 "," --- "," "
" 4/8/2023 "," Powerball® Numbers 11 - 22 - 24 - 51 - 60 "," 18 "," 3 "," "
""," Double Play® Numbers 15 - 26 - 44 - 49 - 51 "," 22 "," --- "," "
" 4/5/2023 "," Powerball® Numbers 3 - 5 - 9 - 42 - 52 "," 11 "," 2 "," "
""," Double Play® Numbers 12 - 30 - 46 - 52 - 59 "," 1 "," --- "," "
" 4/3/2023 "," Powerball® Numbers 16 - 30 - 31 - 54 - 68 "," 1 "," 2 "," "
""," Double Play® Numbers 5 - 10 - 16 - 30 - 40 "," 20 "," --- "," "
" 4/1/2023 "," Powerball® Numbers 11 - 19 - 21 - 29 - 52 "," 17 "," 4 "," "
""," Double Play® Numbers 3 - 14 - 34 - 56 - 57 "," 2 "," --- "," "
" 3/29/2023 "," Powerball® Numbers 4 - 9 - 24 - 46 - 66 "," 7 "," 3 "," "
""," Double Play® Numbers 1 - 20 - 39 - 47 - 49 "," 23 "," --- "," "
" 3/27/2023 "," Powerball® Numbers 19 - 26 - 36 - 43 - 58 "," 14 "," 3 "," "
""," Double Play® Numbers 7 - 11 - 46 - 49 - 60 "," 1 "," --- "," "
" 3/25/2023 "," Powerball® Numbers 15 - 17 - 18 - 47 - 57 "," 19 "," 2 "," "
""," Double Play® Numbers 18 - 30 - 35 - 42 - 52 "," 1 "," --- "," "
" 3/22/2023 "," Powerball® Numbers 27 - 28 - 37 - 50 - 57 "," 5 "," 2 "," "
""," Double Play® Numbers 3 - 32 - 58 - 59 - 61 "," 15 "," --- "," "
" 3/20/2023 "," Powerball® Numbers 1 - 27 - 32 - 47 - 67 "," 14 "," 2 "," "
""," Double Play® Numbers 2 - 18 - 31 - 59 - 60 "," 19 "," --- "," "
" 3/18/2023 "," Powerball® Numbers 14 - 20 - 30 - 54 - 69 "," 11 "," 2 "," "
""," Double Play® Numbers 21 - 30 - 34 - 57 - 59 "," 8 "," --- "," "
" 3/15/2023 "," Powerball® Numbers 16 - 18 - 33 - 37 - 50 "," 8 "," 2 "," "
""," Double Play® Numbers 7 - 9 - 46 - 64 - 68 "," 3 "," --- "," "
" 3/13/2023 "," Powerball® Numbers 3 - 10 - 24 - 46 - 63 "," 4 "," 2 "," "
""," Double Play® Numbers 5 - 25 - 32 - 38 - 62 "," 6 "," --- "," "
" 3/11/2023 "," Powerball® Numbers 11 - 20 - 33 - 43 - 58 "," 24 "," 2 "," "
""," Double Play® Numbers 7 - 16 - 22 - 36 - 58 "," 5 "," --- "," "
" 3/8/2023 "," Powerball® Numbers 26 - 27 - 43 - 61 - 69 "," 4 "," 3 "," "
""," Double Play® Numbers 13 - 20 - 29 - 41 - 45 "," 19 "," --- "," "
" 3/6/2023 "," Powerball® Numbers 2 - 13 - 29 - 58 - 69 "," 4 "," 3 "," "
""," Double Play® Numbers 10 - 19 - 26 - 47 - 55 "," 21 "," --- "," "
" 3/4/2023 "," Powerball® Numbers 10 - 16 - 18 - 40 - 66 "," 16 "," 3 "," "
""," Double Play® Numbers 17 - 18 - 24 - 36 - 56 "," 25 "," --- "," "
" 3/1/2023 "," Powerball® Numbers 2 - 9 - 28 - 36 - 53 "," 4 "," 2 "," "
""," Double Play® Numbers 7 - 12 - 16 - 17 - 39 "," 22 "," --- "," "
" 2/27/2023 "," Powerball® Numbers 16 - 28 - 49 - 51 - 55 "," 23 "," 2 "," "
""," Double Play® Numbers 8 - 27 - 33 - 34 - 44 "," 5 "," --- "," "
" 2/25/2023 "," Powerball® Numbers 11 - 24 - 58 - 66 - 67 "," 26 "," 3 "," "
""," Double Play® Numbers 4 - 6 - 39 - 60 - 66 "," 2 "," --- "," "
" 2/22/2023 "," Powerball® Numbers 11 - 19 - 39 - 44 - 65 "," 7 "," 2 "," "
""," Double Play® Numbers 2 - 38 - 53 - 62 - 63 "," 2 "," --- "," "
" 2/20/2023 "," Powerball® Numbers 3 - 17 - 26 - 38 - 54 "," 15 "," 3 "," "
""," Double Play® Numbers 2 - 13 - 26 - 51 - 55 "," 23 "," --- "," "
" 2/18/2023 "," Powerball® Numbers 8 - 21 - 31 - 32 - 37 "," 23 "," 4 "," "
""," Double Play® Numbers 4 - 36 - 39 - 44 - 46 "," 20 "," --- "," "
" 2/15/2023 "," Powerball® Numbers 31 - 32 - 54 - 60 - 63 "," 12 "," 4 "," "
""," Double Play® Numbers 25 - 30 - 44 - 52 - 66 "," 22 "," --- "," "
" 2/13/2023 "," Powerball® Numbers 17 - 26 - 37 - 61 - 65 "," 2 "," 2 "," "
""," Double Play® Numbers 12 - 17 - 26 - 61 - 69 "," 22 "," --- "," "
" 2/11/2023 "," Powerball® Numbers 10 - 23 - 30 - 54 - 65 "," 11 "," 4 "," "
""," Double Play® Numbers 45 - 48 - 54 - 60 - 63 "," 2 "," --- "," "
" 2/8/2023 "," Powerball® Numbers 52 - 58 - 59 - 64 - 66 "," 9 "," 2 "," "
""," Double Play® Numbers 40 - 41 - 57 - 64 - 65 "," 21 "," --- "," "
" 2/6/2023 "," Powerball® Numbers 5 - 11 - 22 - 23 - 69 "," 7 "," 2 "," "
""," Double Play® Numbers 14 - 19 - 58 - 59 - 68 "," 16 "," --- "," "
" 2/4/2023 "," Powerball® Numbers 2 - 8 - 15 - 19 - 58 "," 10 "," 2 "," "
""," Double Play® Numbers 6 - 38 - 57 - 58 - 63 "," 8 "," --- "," "
" 2/1/2023 "," Powerball® Numbers 31 - 43 - 58 - 59 - 66 "," 9 "," 2 "," "
""," Double Play® Numbers 4 - 23 - 39 - 57 - 63 "," 26 "," --- "," "
" 1/30/2023 "," Powerball® Numbers 1 - 4 - 12 - 36 - 49 "," 5 "," 2 "," "
""," Double Play® Numbers 3 - 25 - 28 - 42 - 61 "," 17 "," --- "," "
" 1/28/2023 "," Powerball® Numbers 2 - 18 - 23 - 27 - 47 "," 15 "," 4 "," "
""," Double Play® Numbers 47 - 51 - 53 - 62 - 63 "," 16 "," --- "," "
" 1/25/2023 "," Powerball® Numbers 9 - 17 - 20 - 38 - 40 "," 18 "," 2 "," "
""," Double Play® Numbers 15 - 32 - 35 - 42 - 47 "," 23 "," --- "," "
" 1/23/2023 "," Powerball® Numbers 12 - 31 - 47 - 58 - 60 "," 23 "," 3 "," "
""," Double Play® Numbers 6 - 15 - 31 - 45 - 58 "," 5 "," --- "," "
" 1/21/2023 "," Powerball® Numbers 5 - 14 - 19 - 46 - 64 "," 22 "," 4 "," "
""," Double Play® Numbers 1 - 8 - 32 - 37 - 64 "," 16 "," --- "," "
" 1/18/2023 "," Powerball® Numbers 6 - 15 - 22 - 42 - 47 "," 26 "," 3 "," "
""," Double Play® Numbers 4 - 11 - 14 - 54 - 69 "," 16 "," --- "," "
" 1/16/2023 "," Powerball® Numbers 4 - 14 - 33 - 39 - 61 "," 3 "," 3 "," "
""," Double Play® Numbers 37 - 40 - 46 - 54 - 59 "," 15 "," --- "," "
" 1/14/2023 "," Powerball® Numbers 24 - 26 - 39 - 47 - 57 "," 23 "," 2 "," "
""," Double Play® Numbers 17 - 19 - 31 - 33 - 64 "," 13 "," --- "," "
" 1/11/2023 "," Powerball® Numbers 4 - 8 - 46 - 47 - 48 "," 5 "," 3 "," "
""," Double Play® Numbers 1 - 3 - 11 - 44 - 62 "," 6 "," --- "," "
" 1/9/2023 "," Powerball® Numbers 18 - 43 - 48 - 60 - 69 "," 14 "," 3 "," "
""," Double Play® Numbers 19 - 41 - 47 - 53 - 54 "," 25 "," --- "," "
" 1/7/2023 "," Powerball® Numbers 35 - 36 - 44 - 45 - 67 "," 14 "," 3 "," "
""," Double Play® Numbers 10 - 17 - 23 - 29 - 49 "," 20 "," --- "," "
" 1/4/2023 "," Powerball® Numbers 12 - 32 - 56 - 67 - 68 "," 26 "," 3 "," "
""," Double Play® Numbers 22 - 25 - 32 - 41 - 46 "," 23 "," --- "," "
" 1/2/2023 "," Powerball® Numbers 7 - 9 - 12 - 31 - 62 "," 22 "," 2 "," "
""," Double Play® Numbers 11 - 12 - 15 - 33 - 39 "," 24 "," --- "," "
" 12/31/2022 "," Powerball® Numbers 18 - 37 - 44 - 50 - 64 "," 11 "," 3 "," "
""," Double Play® Numbers 1 - 25 - 29 - 54 - 56 "," 9 "," --- "," "
" 12/28/2022 "," Powerball® Numbers 26 - 32 - 38 - 45 - 56 "," 1 "," 2 "," "
""," Double Play® Numbers 4 - 10 - 14 - 41 - 56 "," 16 "," --- "," "
" 12/26/2022 "," Powerball® Numbers 17 - 41 - 47 - 60 - 61 "," 17 "," 3 "," "
""," Double Play® Numbers 1 - 30 - 52 - 54 - 63 "," 26 "," --- "," "
" 12/24/2022 "," Powerball® Numbers 17 - 37 - 46 - 54 - 67 "," 8 "," 3 "," "
""," Double Play® Numbers 5 - 32 - 34 - 38 - 48 "," 12 "," --- "," "
" 12/21/2022 "," Powerball® Numbers 12 - 15 - 24 - 34 - 59 "," 14 "," 2 "," "
""," Double Play® Numbers 10 - 16 - 25 - 39 - 52 "," 23 "," --- "," "
" 12/19/2022 "," Powerball® Numbers 7 - 37 - 55 - 65 - 67 "," 12 "," 5 "," "
""," Double Play® Numbers 18 - 32 - 40 - 65 - 67 "," 6 "," --- "," "
" 12/17/2022 "," Powerball® Numbers 33 - 56 - 64 - 66 - 68 "," 12 "," 2 "," "
""," Double Play® Numbers 6 - 9 - 10 - 19 - 28 "," 23 "," --- "," "
" 12/14/2022 "," Powerball® Numbers 36 - 51 - 59 - 66 - 68 "," 25 "," 10 "," "
""," Double Play® Numbers 3 - 12 - 24 - 40 - 57 "," 19 "," --- "," "
" 12/12/2022 "," Powerball® Numbers 16 - 31 - 50 - 55 - 61 "," 9 "," 4 "," "
""," Double Play® Numbers 28 - 39 - 43 - 63 - 67 "," 26 "," --- "," "
" 12/10/2022 "," Powerball® Numbers 9 - 23 - 47 - 49 - 68 "," 19 "," 2 "," "
""," Double Play® Numbers 1 - 34 - 37 - 40 - 53 "," 2 "," --- "," "
" 12/7/2022 "," Powerball® Numbers 6 - 28 - 44 - 59 - 61 "," 21 "," 2 "," "
""," Double Play® Numbers 16 - 25 - 26 - 37 - 48 "," 16 "," --- "," "
" 12/5/2022 "," Powerball® Numbers 35 - 45 - 47 - 54 - 55 "," 14 "," 2 "," "
""," Double Play® Numbers 15 - 50 - 51 - 53 - 68 "," 21 "," --- "," "
" 12/3/2022 "," Powerball® Numbers 6 - 13 - 33 - 36 - 37 "," 7 "," 4 "," "
""," Double Play® Numbers 4 - 10 - 23 - 43 - 64 "," 3 "," --- "," "
" 11/30/2022 "," Powerball® Numbers 4 - 19 - 24 - 47 - 66 "," 10 "," 2 "," "
""," Double Play® Numbers 16 - 34 - 41 - 47 - 55 "," 23 "," --- "," "
" 11/28/2022 "," Powerball® Numbers 29 - 30 - 32 - 48 - 50 "," 20 "," 2 "," "
""," Double Play® Numbers 1 - 5 - 19 - 47 - 55 "," 3 "," --- "," "
" 11/26/2022 "," Powerball® Numbers 15 - 30 - 47 - 50 - 51 "," 3 "," 10 "," "
""," Double Play® Numbers 1 - 35 - 39 - 41 - 54 "," 17 "," --- "," "
" 11/23/2022 "," Powerball® Numbers 1 - 2 - 31 - 39 - 66 "," 25 "," 2 "," "
""," Double Play® Numbers 17 - 20 - 54 - 60 - 69 "," 22 "," --- "," "
" 11/21/2022 "," Powerball® Numbers 1 - 6 - 40 - 51 - 67 "," 2 "," 2 "," "
""," Double Play® Numbers 8 - 23 - 41 - 49 - 63 "," 15 "," --- "," "
" 11/19/2022 "," Powerball® Numbers 7 - 28 - 62 - 63 - 64 "," 10 "," 3 "," "
""," Double Play® Numbers 19 - 35 - 40 - 62 - 68 "," 23 "," --- "," "
" 11/16/2022 "," Powerball® Numbers 28 - 34 - 51 - 53 - 56 "," 11 "," 2 "," "
""," Double Play® Numbers 5 - 26 - 41 - 59 - 66 "," 11 "," --- "," "
" 11/14/2022 "," Powerball® Numbers 19 - 35 - 53 - 54 - 67 "," 21 "," 2 "," "
""," Double Play® Numbers 1 - 24 - 32 - 63 - 69 "," 13 "," --- "," "
" 11/12/2022 "," Powerball® Numbers 16 - 20 - 44 - 57 - 58 "," 6 "," 4 "," "
""," Double Play® Numbers 8 - 18 - 29 - 44 - 68 "," 3 "," --- "," "
" 11/9/2022 "," Powerball® Numbers 7 - 14 - 24 - 30 - 56 "," 7 "," 2 "," "
""," Double Play® Numbers 4 - 15 - 31 - 52 - 62 "," 16 "," --- "," "
" 11/7/2022 "," Powerball® Numbers 10 - 33 - 41 - 47 - 56 "," 10 "," 2 "," "
""," Double Play® Numbers 1 - 21 - 27 - 29 - 40 "," 18 "," --- "," "
" 11/5/2022 "," Powerball® Numbers 28 - 45 - 53 - 56 - 69 "," 20 "," 3 "," "
""," Double Play® Numbers 4 - 23 - 27 - 31 - 56 "," 15 "," --- "," "
" 11/2/2022 "," Powerball® Numbers 2 - 11 - 22 - 35 - 60 "," 23 "," 2 "," "
""," Double Play® Numbers 20 - 34 - 37 - 57 - 67 "," 26 "," --- "," "
